League,College,Count,LeagueTotal,Percentage,Rank
MLB,Davidson College,13,7540,0.1724137931034483,50.0
MLB,Grand Canyon University,13,7540,0.1724137931034483,50.0
MLB,Lafayette College,13,7540,0.1724137931034483,50.0
MLB,Lewis-Clark State College,13,7540,0.1724137931034483,50.0
MLB,Louisburg College,13,7540,0.1724137931034483,50.0
MLB,Paris Junior College,13,7540,0.1724137931034483,50.0
MLB,Pasadena City College,13,7540,0.1724137931034483,50.0
MLB,Tufts University,13,7540,0.1724137931034483,50.0
MLB,University of Cincinnati,13,7540,0.1724137931034483,50.0
MLB,University of Connecticut,13,7540,0.1724137931034483,50.0
MLB,University of Hawaii at Manoa,13,7540,0.1724137931034483,50.0
MLB,University of Louisiana at Lafayette,13,7540,0.1724137931034483,50.0
MLB,University of New Orleans,13,7540,0.1724137931034483,50.0
MLB,University of South Florida,13,7540,0.1724137931034483,50.0
NBA,Butler County Community College,4,4371,0.09151223976206818,50.0
NBA,California State University-Los Angeles,4,4371,0.09151223976206818,50.0
NBA,Centenary College of Louisiana,4,4371,0.09151223976206818,50.0
NBA,Cleveland State University,4,4371,0.09151223976206818,50.0
NBA,Colgate University,4,4371,0.09151223976206818,50.0
NBA,Florida Agricultural and Mechanical University,4,4371,0.09151223976206818,50.0
NBA,Gardner-Webb University,4,4371,0.09151223976206818,50.0
NBA,Guilford College,4,4371,0.09151223976206818,50.0
NBA,Harvard University,4,4371,0.09151223976206818,50.0
NBA,Kentucky Wesleyan College,4,4371,0.09151223976206818,50.0
NBA,Lamar University,4,4371,0.09151223976206818,50.0
NBA,Missouri State University,4,4371,0.09151223976206818,50.0
NBA,Oklahoma Baptist University,4,4371,0.09151223976206818,50.0
NBA,Saint Francis University,4,4371,0.09151223976206818,50.0
NBA,Saint Peter's College,4,4371,0.09151223976206818,50.0
NBA,South Plains College,4,4371,0.09151223976206818,50.0
NBA,Tennessee Technological University,4,4371,0.09151223976206818,50.0
NBA,Texas Southern University,4,4371,0.09151223976206818,50.0
NBA,University of Akron,4,4371,0.09151223976206818,50.0
NBA,University of Evansville,4,4371,0.09151223976206818,50.0
NBA,University of Maryland Eastern Shore,4,4371,0.09151223976206818,50.0
NBA,University of Southern Mississippi,4,4371,0.09151223976206818,50.0
NBA,University of Wisconsin at Green Bay,4,4371,0.09151223976206818,50.0
NFL,University of Kansas,143,24459,0.5846518663886504,50.0
MLB,Citrus College,12,7540,0.15915119363395225,51.0
MLB,Colgate University,12,7540,0.15915119363395225,51.0
MLB,Florida Southern College,12,7540,0.15915119363395225,51.0
MLB,Illinois State University,12,7540,0.15915119363395225,51.0
MLB,James Madison University,12,7540,0.15915119363395225,51.0
MLB,Lehigh University,12,7540,0.15915119363395225,51.0
MLB,Los Angeles Harbor College,12,7540,0.15915119363395225,51.0
MLB,Los Angeles Valley College,12,7540,0.15915119363395225,51.0
MLB,New York University,12,7540,0.15915119363395225,51.0
MLB,St. Louis Community College-Forest Park Campus,12,7540,0.15915119363395225,51.0
MLB,University of Pittsburgh,12,7540,0.15915119363395225,51.0
MLB,Virginia Commonwealth University,12,7540,0.15915119363395225,51.0
MLB,Washington and Lee University,12,7540,0.15915119363395225,51.0
NBA,Arkansas State University,3,4371,0.06863417982155114,51.0
NBA,Ball State University,3,4371,0.06863417982155114,51.0
NBA,Barton County Community College,3,4371,0.06863417982155114,51.0
NBA,Bethune-Cookman College,3,4371,0.06863417982155114,51.0
NBA,College of Charleston,3,4371,0.06863417982155114,51.0
NBA,Cornell University,3,4371,0.06863417982155114,51.0
NBA,Delta State University,3,4371,0.06863417982155114,51.0
NBA,Drexel University,3,4371,0.06863417982155114,51.0
NBA,East Tennessee State University,3,4371,0.06863417982155114,51.0
NBA,East Texas State University,3,4371,0.06863417982155114,51.0
NBA,Furman University,3,4371,0.06863417982155114,51.0
NBA,George Mason University,3,4371,0.06863417982155114,51.0
